Feature ID	Taxon	Confidence
4c984feed305a1835ed619f6d4661c38	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Macrococcus; s__	0.949524562
4ec92a9d37b3208caf194c7a2efc0eca	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.973259896
9b740e8e047c98bb45cd4dc582c1a7f9	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter; s__aerosaccus	0.998808211
2f4a2b08eec8d8d5f66dc0d20552881f	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	0.99997597
e0b88f8dc3b28eb8edc9fd49cb546310	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Macrococcus; s__	0.961456834
a42ba2342d7081281c3bfc0c99e1bfcf	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__agalactiae	0.780326295
da3fd1a55a332ea87aa1da2b633d54b2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__agalactiae	0.841879291
1d3069c72e6247503677e95b082566a1	k__Bacteria; p__Firmicutes; c__Bacilli	0.999393663
33cffd2c9eba73e4feee5abe2509b790	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria; s__kristinae	0.998302405
97904005472b49b5a729b1f7470c3bce	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Elizabethkingia; s__	0.997709175
83a3d0b729577b3ef43cb9906801a5b4	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Elizabethkingia; s__	0.99822226
a0d03ba5342c2c82ac244c0c5ef28b92	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	0.999652492
51521b7c26313e7b8b723e84094d17ed	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Elizabethkingia; s__	0.73084268
895f8e0a71532ff57351f87d61b85b43	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.998405886
3101e8362be550589f5a9a8df064721f	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.99876788
c5c200356c53f3783d634aa0406cf3e9	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	0.962172448
1a295a0c5ff32e881203429e3fcdbafc	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	0.999504798
78a26114d795d6576d5ff46e3ffb0993	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.72074357
a7b3d334f734a4e4b7fe1ed229513bf2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	0.999879337
935640a7cff68116573a58f74fd51fe5	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__	0.900274112
eaa57f77edaae985a5784f41ece4ce33	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__garvieae	0.872934737
67becd627a10d536fea49bb6b152c24d	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__nasimurium	0.91797106
2162a3a770303e62bb9357c855324148	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Atopococcus; s__tabaci	0.919485946
b812bf74f554584c9135a06332f1fd00	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.988750083
fb32b446fc2be021215a42560c8ccdfe	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Elizabethkingia; s__	0.832059013
552f974d91fefde66a21e33a08ecd937	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.998164488
1f671c19e77059eab03e0646c269714f	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Staphylococcus; s__saprophyticus	0.947521007
c0fcac392fda5b2c85f7eff24b4a08ed	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Gordoniaceae; g__Millisia; s__brevis	0.929003026
7f86ea6255e3e8b100e03a67af5f3d93	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.999947353
35538193709771da76c4f0530a8b754a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Atopococcus; s__tabaci	0.747011555
1542e91c99d9766e4afa866f20f227e2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Staphylococcus; s__saprophyticus	0.947109115
b924be36c473d0b24464c29b3fc38d0d	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Staphylococcus; s__saprophyticus	0.942384659
b1e337431955aa10b3b8a74c49ce9eb7	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus	0.715546444
94313824fd573b537623c2f610b7a776	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Elizabethkingia; s__	0.9942166
d49defade3316e90a83eaef200a78022	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__agalactiae	0.99990278
205b62f0a2a7fc91d8181c4445eb0340	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Atopococcus; s__tabaci	0.957957613
7caed1b0bad4bc1153ee2654ecd99a8b	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.999914042
f050befa4a602eefdbfb02591a8520ad	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter	0.808931129
93eebee63196415bde5f5f1e5f7656aa	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium	0.993418648
05f7c9b56186c9d6956a3424b18f417a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__agalactiae	0.704152168
bd5e588bfc174e1dd6cbd7e7b7acf75e	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium	0.992347943
4734a107fb774c46c0ecb974915a4781	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter	0.758779449
69c3b94a2562646fa2067da32c90b211	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter	0.819297178
6cfcb015a00c6f3fb16e6eec63f4a35c	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus; s__terreus	0.745183973
cd4a4cd5016bf44fe442b7072a21e1eb	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__breve	0.838368012
5a14d138427aad4fec984865c3c2ff25	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Elizabethkingia; s__	0.927362307
42c4392b0f2ce815ed2c339e476acfe4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.999951679
0a03b16721c0ccce232a61e5c070cb63	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria; s__kristinae	0.998302429
c5570c72a6a36a33c8092188a1f271a2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Staphylococcus; s__saprophyticus	0.880340531
52b245fb5c9ae8f0436701396f9a274f	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__	0.742738945
6838109acba57e348210df3164f59632	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter	0.741494661
dd5ce8d0b040693d540cb5aaf1b9fb3b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Clostridium; s__ruminantium	0.95223757
a4e4b480a75cf174cd8c27bd3081ff7f	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.999953216
